identifiant;nom_etablissement;annee_emission;milieu;polluant;quantite;unite
0005501218;PDM INDUSTRIES;2020;Sol;Chrome et composés (exprimés en tant que Cr);57;kg/an
0005600372;CONSTELLIUM ISSOIRE;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);61;kg/an
0005700724;MAC CAIN ALIMENTAIRE SAS;2020;Sol;Chrome et composés (exprimés en tant que Cr);56.6;kg/an
0005800357;TOTAL RAFFINAGE FRANCE;2020;Air;Chrome et composés (exprimés en tant que Cr);132;kg/an
0005800540;DA ALIZAY;2020;Sol;Chrome et composés (exprimés en tant que Cr);135;kg/an
0005800587;ESSITY OPERATIONS FRANCE;2020;Sol;Chrome et composés (exprimés en tant que Cr);160;kg/an
0005800627;IKOS ENVIRONNEMENT;2020;Sol;Chrome et composés (exprimés en tant que Cr);177;kg/an
0006104505;UGITECH;2020;Air;Chrome et composés (exprimés en tant que Cr);165;kg/an
0006105225;ADISSEO FRANCE SAS;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);91;kg/an
0006200158;SOLVAY OPERATIONS FRANCE;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);74;kg/an
0006301099;CET;2020;Eau (indirect);Chrome et composés (exprimés en tant que Cr);13500;kg/an
0006401052;ARCELORMITTAL Méditerranée;2020;Air;Chrome et composés (exprimés en tant que Cr);312;kg/an
0006700404;ROQUETTE FRERES;2020;Sol;Chrome et composés (exprimés en tant que Cr);110;kg/an
0006700538;ALSACHIMIE;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);255;kg/an
0006802548;FIBRE EXCELLENCE SAINT-GAUDENS;2020;Sol;Chrome et composés (exprimés en tant que Cr);500;kg/an
0007000490;RDM BLENDECQUES SAS;2020;Sol;Chrome et composés (exprimés en tant que Cr);99.1;kg/an
0007000846;MC CAIN ALIMENTAIRE;2020;Sol;Chrome et composés (exprimés en tant que Cr);58.6;kg/an
0007000956;ARCELORMITTAL FRANCE;2020;Air;Chrome et composés (exprimés en tant que Cr);277;kg/an
0007002377;THYSSEN KRUPP ELECTRICAL STEEL UGO;2020;Eau (indirect);Chrome et composés (exprimés en tant que Cr);2690;kg/an
0007202778;ROUSSELOT ANGOULEME SAS;2020;Sol;Chrome et composés (exprimés en tant que Cr);67;kg/an
0005201691;GASCOGNE PAPIER;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);149;kg/an
0005800349;ESSO RAFFINAGE;2020;Air;Chrome et composés (exprimés en tant que Cr);300;kg/an
0006000385;INTERNATIONAL PAPER;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);112;kg/an
0006000385;INTERNATIONAL PAPER;2020;Sol;Chrome et composés (exprimés en tant que Cr);663;kg/an
0006105221;OSIRIS GIE;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);206;kg/an
0006202054;ARCELORMITTAL FRANCE;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);85.5;kg/an
0006400874;Fibre- Excellence;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);67.7;kg/an
0006700694;TANNERIES HAAS;2020;Eau (indirect);Chrome et composés (exprimés en tant que Cr);52.7;kg/an
0010000503;BODIN JOYEUX 1;2020;Eau (indirect);Chrome et composés (exprimés en tant que Cr);57;kg/an
0005201541;GASCOGNE FLEXIBLE;2020;Eau (indirect);Chrome et composés (exprimés en tant que Cr);142;kg/an
0005202199;CREUZET AERONAUTIQUE SA;2020;Air;Chrome et composés (exprimés en tant que Cr);151;kg/an
0006304150;COM COM VALLEES HAUT ANJOU;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);130;kg/an
0007001279;ENGIE Thermique France - Centrale DK6;2020;Air;Chrome et composés (exprimés en tant que Cr);166;kg/an
0007206396;SEDE ENVIRONNEMENT;2020;Sol;Chrome et composés (exprimés en tant que Cr);223;kg/an
0005701421;CRISTAL UNION;2020;Sol;Chrome et composés (exprimés en tant que Cr);754;kg/an
0006107527;VENCOREX FRANCE;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);68.4;kg/an
0007003161;BOULONNAIS (Communauté d'Agglomération);2020;Air;Chrome et composés (exprimés en tant que Cr);164;kg/an
0006806911;LOMAGNE COMPOST;2020;Sol;Chrome et composés (exprimés en tant que Cr);134;kg/an
0018300758;STEP MAERA;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);155;kg/an
0005106562;GL ORGANOSOL;2020;Sol;Chrome et composés (exprimés en tant que Cr);112;kg/an
0005206248;LABAT ASSAINISSEMENT VIDANGE;2020;Sol;Chrome et composés (exprimés en tant que Cr);55.3;kg/an
0006900563;EDF PEI Pointe Jarry;2020;Air;Chrome et composés (exprimés en tant que Cr);174;kg/an
0005704418;CHAMPARGONNE BIOGAZ;2020;Sol;Chrome et composés (exprimés en tant que Cr);63.6;kg/an
0006705866;AGRO-LOGIC Sarl;2020;Sol;Chrome et composés (exprimés en tant que Cr);188;kg/an
0009071302;STEP - Marseille;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);172;kg/an
0009077801;SIAAP - Site Seine Aval;2020;Sol;Chrome et composés (exprimés en tant que Cr);553;kg/an
0009078001;STEP - AMIENS;2020;Sol;Chrome et composés (exprimés en tant que Cr);52.5;kg/an
0009073403;STEP - MAERA;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);155;kg/an
0009076402;STEP - LESCAR;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);94;kg/an
0009075101;STEP REIMS;2020;Sol;Chrome et composés (exprimés en tant que Cr);203;kg/an
0009076204;STEP - Arras (St Laurent Blangy);2020;Sol;Chrome et composés (exprimés en tant que Cr);84.4;kg/an
0009074501;STEP - LA CHAPELLE-SAINT-MESMIN;2020;Sol;Chrome et composés (exprimés en tant que Cr);57.8;kg/an
0009075401;Station du Grand Nancy située à MAXEVILLE;2020;Sol;Chrome et composés (exprimés en tant que Cr);64.7;kg/an
0009073701;Station d'épuration de La Grange David;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);138;kg/an
0009073701;Station d'épuration de La Grange David;2020;Sol;Chrome et composés (exprimés en tant que Cr);92.8;kg/an
0009071201;STEP - BENECHOU;2020;Sol;Chrome et composés (exprimés en tant que Cr);143;kg/an
0009071401;STEP - CAEN;2020;Sol;Chrome et composés (exprimés en tant que Cr);99.9;kg/an
0009072501;STEP - PORT-DOUVOT;2020;Sol;Chrome et composés (exprimés en tant que Cr);54;kg/an
0006513048;CERGY PONTOISE ASSAINISSEMENT;2020;Sol;Chrome et composés (exprimés en tant que Cr);265;kg/an
0009075906;STEP - Lille-C.U.-Wattrelos;2020;Eau (direct);Chrome et composés (exprimés en tant que Cr);130;kg/an
0009075906;STEP - Lille-C.U.-Wattrelos;2020;Sol;Chrome et composés (exprimés en tant que Cr);1570;kg/an
0009074902;STEU - Les Cinq Ponts;2020;Sol;Chrome et composés (exprimés en tant que Cr);70.3;kg/an
0009075905;STEP - Lille-C.U.-Marquette;2020;Sol;Chrome et composés (exprimés en tant que Cr);200;kg/an
0009075701;HAGANIS -STEP METZ;2020;Sol;Chrome et composés (exprimés en tant que Cr);67.8;kg/an
0009075904;STEP - Lille-C.U.-Houplin Ancoisne;2020;Sol;Chrome et composés (exprimés en tant que Cr);84.7;kg/an
0005106630;SUEZ ORGANIQUE;2020;Sol;Chrome et composés (exprimés en tant que Cr);84.5;kg/an
0009074202;STEU - ROANNE - Les 3 Ponts;2020;Sol;Chrome et composés (exprimés en tant que Cr);199;kg/an
0005100749;ZEHNDER GROUP;2020;Eau (indirect);Chrome hexavalent et composés (exprimés en tant que Cr VI);109;kg/an
0005800349;ESSO RAFFINAGE;2020;Eau (direct);Chrome hexavalent et composés (exprimés en tant que Cr VI);39.4;kg/an
0005201541;GASCOGNE FLEXIBLE;2020;Eau (indirect);Chrome hexavalent et composés (exprimés en tant que Cr VI);39;kg/an
0005202199;CREUZET AERONAUTIQUE SA;2020;Eau (indirect);Chrome hexavalent et composés (exprimés en tant que Cr VI);38.3;kg/an
0005202016;Usine DRT Vielle-Saint-Girons;2020;Air;Cobalt et composés (exprimés en tant que Co);91;kg/an
0005401254;APERAM ALLOYS IMPHY;2020;Air;Cobalt et composés (exprimés en tant que Co);7.97;kg/an
0005502171;IMERYS REFACTORY MINERALS;2020;Eau (direct);Cobalt et composés (exprimés en tant que Co);60;kg/an
0005600023;ERASTEEL SAS;2020;Air;Cobalt et composés (exprimés en tant que Co);23.2;kg/an
0005600024;VICAT SA;2020;Air;Cobalt et composés (exprimés en tant que Co);10.8;kg/an
0005701706;SUN DESHY;2020;Air;Cobalt et composés (exprimés en tant que Co);7.52;kg/an
0005800412;SANOFI CHIMIE SA;2020;Eau (direct);Cobalt et composés (exprimés en tant que Co);3190;kg/an
0006102962;UMICORE SPECIALTY POWDERS FRANCE;2020;Eau (indirect);Cobalt et composés (exprimés en tant que Co);92;kg/an
0006103723;GEPEIF STATION EPUR. DES INDUS;2020;Eau (direct);Cobalt et composés (exprimés en tant que Co);303;kg/an
0006104505;UGITECH;2020;Air;Cobalt et composés (exprimés en tant que Co);11.7;kg/an
0006200307;NOVACARB;2020;Air;Cobalt et composés (exprimés en tant que Co);5.33;kg/an
0006301207;TOTAL Raffinage France;2020;Air;Cobalt et composés (exprimés en tant que Co);5.56;kg/an
0006301217;EDF SA;2020;Air;Cobalt et composés (exprimés en tant que Co);11.4;kg/an
0006401029;ESSO Raffinage SAS;2020;Air;Cobalt et composés (exprimés en tant que Co);8.63;kg/an
0006401052;ARCELORMITTAL Méditerranée;2020;Air;Cobalt et composés (exprimés en tant que Co);14.6;kg/an
0006402211;Petroineos Manufacturing France SAS;2020;Air;Cobalt et composés (exprimés en tant que Co);9.33;kg/an
0006504556;ENORIS;2020;Air;Cobalt et composés (exprimés en tant que Co);133;kg/an
0006601577;AXENS;2020;Air;Cobalt et composés (exprimés en tant que Co);36.1;kg/an
0007000534;SYNTHEXIM (Site Calaire);2020;Air;Cobalt et composés (exprimés en tant que Co);9.6;kg/an
0007000720;Ferroglobe Manganèse France SAS;2020;Air;Cobalt et composés (exprimés en tant que Co);6.39;kg/an
0007000956;ARCELORMITTAL FRANCE;2020;Air;Cobalt et composés (exprimés en tant que Co);16.7;kg/an
0007201542;CIMENTS CALCIA sas;2020;Air;Cobalt et composés (exprimés en tant que Co);42.8;kg/an
0007300024;EDF Corse;2020;Air;Cobalt et composés (exprimés en tant que Co);84.5;kg/an
0010000473;UVEA;2020;Air;Cobalt et composés (exprimés en tant que Co);7.81;kg/an
0010001395;SUEZ RV Energie - AMILLY;2020;Air;Cobalt et composés (exprimés en tant que Co);9.91;kg/an
0005200351;SIMOREP & CIE- CS MICHELIN;2020;Eau (direct);Cobalt et composés (exprimés en tant que Co);55.9;kg/an
0005701701;CIMENTS CALCIA;2020;Air;Cobalt et composés (exprimés en tant que Co);23.1;kg/an
0005800349;ESSO RAFFINAGE;2020;Air;Cobalt et composés (exprimés en tant que Co);24.9;kg/an
0006102955;HYPERION SAS ex SANDVIK;2020;Eau (indirect);Cobalt et composés (exprimés en tant que Co);147;kg/an
0006600262;LAFARGE HOLCIM;2020;Air;Cobalt et composés (exprimés en tant que Co);14.2;kg/an
0006601697;Société EVOLIA;2020;Air;Cobalt et composés (exprimés en tant que Co);12.6;kg/an
0006900013;EDF SEI;2020;Air;Cobalt et composés (exprimés en tant que Co);31;kg/an
0022100014;Centrale EDF de St Barthelemy;2020;Air;Cobalt et composés (exprimés en tant que Co);8.52;kg/an
0022100015;ELECTRICITE DE FRANCE St Martin;2020;Air;Cobalt et composés (exprimés en tant que Co);12.1;kg/an
0022200016;EDF SEI - PK;2020;Air;Cobalt et composés (exprimés en tant que Co);63.4;kg/an
0007404581;HOWMET SAS;2020;Air;Cobalt et composés (exprimés en tant que Co);25.8;kg/an
0006107527;VENCOREX FRANCE;2020;Eau (direct);Cobalt et composés (exprimés en tant que Co);63;kg/an
0006900014;EDF SEI;2020;Air;Cobalt et composés (exprimés en tant que Co);13.3;kg/an
0007000849;LONGORACCORD;2020;Air;Cobalt et composés (exprimés en tant que Co);129;kg/an
0007003161;BOULONNAIS (Communauté d'Agglomération);2020;Air;Cobalt et composés (exprimés en tant que Co);29.7;kg/an
0006900568;EDF PEI Bf2;2020;Air;Cobalt et composés (exprimés en tant que Co);204;kg/an
0007101355;EDF-PEI SAS;2020;Air;Cobalt et composés (exprimés en tant que Co);236;kg/an
0040000003;Electricité De Mayotte - EDM;2020;Air;Cobalt et composés (exprimés en tant que Co);19.8;kg/an
0040000024;Electricité De Mayotte - EDM;2020;Air;Cobalt et composés (exprimés en tant que Co);5.8;kg/an
0007300368;EDF Production Electrique Insulaire - Etablissement de Haute Corse;2020;Air;Cobalt et composés (exprimés en tant que Co);12.1;kg/an
0006900563;EDF PEI Pointe Jarry;2020;Air;Cobalt et composés (exprimés en tant que Co);47.9;kg/an
0005209637;BIOLACQ ENERGIES;2020;Air;Cobalt et composés (exprimés en tant que Co);26.8;kg/an
0005704915;CYCLIFE  ex SOCODEI;2020;Air;Cobalt et composés (exprimés en tant que Co);222;kg/an
0009077301;UDEP - Chambéry;2020;Eau (direct);Cobalt et composés (exprimés en tant que Co);66;kg/an
0005100114;TEREOS FRANCE (BUCY);2020;Air;Composés organiques volatils non méthaniques (COVNM);45800;kg/an
0005100190;DSP France SAS  (ex DOW FRANCE);2020;Air;Composés organiques volatils non méthaniques (COVNM);42800;kg/an
0005100349;SOPROCOS;2020;Air;Composés organiques volatils non méthaniques (COVNM);128000;kg/an
0005100400;CROWN LAON;2020;Air;Composés organiques volatils non méthaniques (COVNM);103000;kg/an
0005100521;TEREOS FRANCE;2020;Air;Composés organiques volatils non méthaniques (COVNM);52400;kg/an
0005100562;MBK INDUSTRIE;2020;Air;Composés organiques volatils non méthaniques (COVNM);60300;kg/an
0005100909;VISKASE;2020;Air;Composés organiques volatils non méthaniques (COVNM);408000;kg/an
0005100912;AGCO;2020;Air;Composés organiques volatils non méthaniques (COVNM);76600;kg/an
0005100917;SOLABIA;2020;Air;Composés organiques volatils non méthaniques (COVNM);56200;kg/an
0005100918;SPONTEX;2020;Air;Composés organiques volatils non méthaniques (COVNM);347000;kg/an
0005100978;BASF France (ex Coatings);2020;Air;Composés organiques volatils non méthaniques (COVNM);43000;kg/an
0005100993;Si GROUP;2020;Air;Composés organiques volatils non méthaniques (COVNM);40600;kg/an
0005101361;AKZO NOBEL DECORATIVE (ex AKZO NOBEL CO);2020;Air;Composés organiques volatils non méthaniques (COVNM);36100;kg/an
0005101363;ARCELORMITTAL FRANCE;2020;Air;Composés organiques volatils non méthaniques (COVNM);98400;kg/an
0005101668;ARKEMA;2020;Air;Composés organiques volatils non méthaniques (COVNM);79700;kg/an
0005102355;STELIA AEROSPACE;2020;Air;Composés organiques volatils non méthaniques (COVNM);43400;kg/an
0005102587;RKW SFE SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);110000;kg/an
0005103657;Flint Groupe France;2020;Air;Composés organiques volatils non méthaniques (COVNM);120000;kg/an
0005200074;BERKEM SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);295000;kg/an
0005200359;SAIPOL SA;2020;Air;Composés organiques volatils non méthaniques (COVNM);546000;kg/an
0005201764;CHEMVIRON;2020;Air;Composés organiques volatils non méthaniques (COVNM);63800;kg/an
0005201939;BIOLANDES TECHNOLOGIES SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);332000;kg/an
0005202000;RAYONIER A.M. TARTAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);150000;kg/an
0005202016;Usine DRT Vielle-Saint-Girons;2020;Air;Composés organiques volatils non méthaniques (COVNM);300000;kg/an
0005202084;EUTICALS  SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);33900;kg/an
0005300092;RENAULT TRUCKS;2020;Air;Composés organiques volatils non méthaniques (COVNM);31400;kg/an
0005301618;SAINT ANDRE PLASTIQUE;2020;Air;Composés organiques volatils non méthaniques (COVNM);295000;kg/an
0005301827;CARGILL FRANCE SAS - site de Baupte;2020;Air;Composés organiques volatils non méthaniques (COVNM);146000;kg/an
0005301955;CPC COTENTIN;2020;Air;Composés organiques volatils non méthaniques (COVNM);113000;kg/an
0005302603;PCAS SEQENS;2020;Air;Composés organiques volatils non méthaniques (COVNM);330000;kg/an
0005401066;TEFAL;2020;Air;Composés organiques volatils non méthaniques (COVNM);36600;kg/an
0005401067;VALSPAR FRANCE CORPORATION;2020;Air;Composés organiques volatils non méthaniques (COVNM);33000;kg/an
0005401100;AMCOR FLEXIBLES PACKAGING France;2020;Air;Composés organiques volatils non méthaniques (COVNM);148000;kg/an
0005401253;MICHELIN;2020;Air;Composés organiques volatils non méthaniques (COVNM);41900;kg/an
0005401290;BREGER CENTRE SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);47100;kg/an
0005401465;FRUEHAUF SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);45900;kg/an
0005500609;BUNGE France;2020;Air;Composés organiques volatils non méthaniques (COVNM);311000;kg/an
0005501351;NOBELSPORT;2020;Air;Composés organiques volatils non méthaniques (COVNM);192000;kg/an
0005501387;PSA Automobile SA;2020;Air;Composés organiques volatils non méthaniques (COVNM);350000;kg/an
0005501486;CARGILL;2020;Air;Composés organiques volatils non méthaniques (COVNM);419000;kg/an
0005501502;CONTITECH AVS FRANCE;2020;Air;Composés organiques volatils non méthaniques (COVNM);33900;kg/an
0005501776;GUERBET;2020;Air;Composés organiques volatils non méthaniques (COVNM);143000;kg/an
0005503421;HIRSCH FRANCE;2020;Air;Composés organiques volatils non méthaniques (COVNM);115000;kg/an
0005600377;SAIPOL;2020;Air;Composés organiques volatils non méthaniques (COVNM);88400;kg/an
0005600463;SANOFI CHIMIE;2020;Air;Composés organiques volatils non méthaniques (COVNM);381000;kg/an
0005701128;PEUGEOT CITROEN MECANIQUE DE L'EST SNC;2020;Air;Composés organiques volatils non méthaniques (COVNM);187000;kg/an
0005701177;LUZEAL;2020;Air;Composés organiques volatils non méthaniques (COVNM);52500;kg/an
0005701186;FAURECIA AUTOMOTIVE INDUSTRIE;2020;Air;Composés organiques volatils non méthaniques (COVNM);38000;kg/an
0005701238;FBM - Fonderie;2020;Air;Composés organiques volatils non méthaniques (COVNM);34300;kg/an
0005701253;SAINT-GOBAIN PAM;2020;Air;Composés organiques volatils non méthaniques (COVNM);45300;kg/an
0005701291;CONSTANTIA JEANNE D'ARC SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);45400;kg/an
0005701400;IPC Petroleum France;2020;Air;Composés organiques volatils non méthaniques (COVNM);110000;kg/an
0005701451;LUZEAL;2020;Air;Composés organiques volatils non méthaniques (COVNM);32200;kg/an
0005701544;TEREOS NUTRITION ANIMALE;2020;Air;Composés organiques volatils non méthaniques (COVNM);44500;kg/an
0005701609;SAS GIVAUDAN France;2020;Air;Composés organiques volatils non méthaniques (COVNM);74000;kg/an
0005701671;TEREOS NUTRITION ANIMALE;2020;Air;Composés organiques volatils non méthaniques (COVNM);31500;kg/an
0005701706;SUN DESHY;2020;Air;Composés organiques volatils non méthaniques (COVNM);56200;kg/an
0005701735;LUZEAL;2020;Air;Composés organiques volatils non méthaniques (COVNM);39400;kg/an
0005701906;BRODART;2020;Air;Composés organiques volatils non méthaniques (COVNM);160000;kg/an
0005701961;Michelin MFPM;2020;Air;Composés organiques volatils non méthaniques (COVNM);65600;kg/an
0005800297;TOTAL RAFFINAGE FRANCE;2020;Air;Composés organiques volatils non méthaniques (COVNM);1050000;kg/an
0005800299;TOTAL FLUIDES;2020;Air;Composés organiques volatils non méthaniques (COVNM);73500;kg/an
0005800317;ALKION TERMINAL LE HAVRE;2020;Air;Composés organiques volatils non méthaniques (COVNM);90100;kg/an
0005800348;ExxonMobil Chemical France;2020;Air;Composés organiques volatils non méthaniques (COVNM);802000;kg/an
0005800350;ERAMET;2020;Air;Composés organiques volatils non méthaniques (COVNM);53900;kg/an
0005800357;TOTAL RAFFINAGE FRANCE;2020;Air;Composés organiques volatils non méthaniques (COVNM);1060000;kg/an
0005800386;SAIPOL;2020;Air;Composés organiques volatils non méthaniques (COVNM);250000;kg/an
0005800412;SANOFI CHIMIE SA;2020;Air;Composés organiques volatils non méthaniques (COVNM);99100;kg/an
0005800413;REVIMA;2020;Air;Composés organiques volatils non méthaniques (COVNM);30700;kg/an
0005800435;COMPAGNIE INDUSTRIELLE MARITIME;2020;Air;Composés organiques volatils non méthaniques (COVNM);132000;kg/an
0005800439;CHEVRON ORONITE SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);715000;kg/an
0005800483;EUROFOIL FRANCE;2020;Air;Composés organiques volatils non méthaniques (COVNM);205000;kg/an
0005800496;EXXONMOBIL CHEMICAL FRANCE;2020;Air;Composés organiques volatils non méthaniques (COVNM);86900;kg/an
0005800520;NOVACEL;2020;Air;Composés organiques volatils non méthaniques (COVNM);496000;kg/an
0005800572;PLASTIC OMNIUM;2020;Air;Composés organiques volatils non méthaniques (COVNM);40000;kg/an
0005800635;ARLANXEO ELASTOMERES FRANCE SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);111000;kg/an
0005800814;CEISA PACKAGING SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);102000;kg/an
0005801230;BOBET;2020;Air;Composés organiques volatils non méthaniques (COVNM);50000;kg/an
0005801247;PHARMASYNTHESE SA;2020;Air;Composés organiques volatils non méthaniques (COVNM);37000;kg/an
0005801373;KNAUF PACK NORD;2020;Air;Composés organiques volatils non méthaniques (COVNM);40500;kg/an
0005801468;PPG COATINGS SA;2020;Air;Composés organiques volatils non méthaniques (COVNM);175000;kg/an
0005900608;PEUGEOT CITROEN SOCHAUX SNC;2020;Air;Composés organiques volatils non méthaniques (COVNM);638000;kg/an
0005901100;FIDAY GESTION;2020;Air;Composés organiques volatils non méthaniques (COVNM);47100;kg/an
0005901114;EUROCOOLER SYSTEMS;2020;Air;Composés organiques volatils non méthaniques (COVNM);39000;kg/an
0005901115;COMPAGNIE FRANCAISE DU PANNEAU;2020;Air;Composés organiques volatils non méthaniques (COVNM);33700;kg/an
0005901149;FUJI SEAL FRANCE SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);83800;kg/an
0005901183;OGF;2020;Air;Composés organiques volatils non méthaniques (COVNM);38600;kg/an
0005901214;FAURECIA;2020;Air;Composés organiques volatils non méthaniques (COVNM);89300;kg/an
0005901267;KNAUF INDUSTRIES;2020;Air;Composés organiques volatils non méthaniques (COVNM);43800;kg/an
0006102064;BALL AEROSOL PACKAGING;2020;Air;Composés organiques volatils non méthaniques (COVNM);54000;kg/an
0006102089;STORENGY;2020;Air;Composés organiques volatils non méthaniques (COVNM);46300;kg/an
0006102218;LAMBERET;2020;Air;Composés organiques volatils non méthaniques (COVNM);169000;kg/an
0006102267;SIEGFRIED St Vulbas SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);277000;kg/an
0006102410;STS COMPOSITES FRANCE;2020;Air;Composés organiques volatils non méthaniques (COVNM);49900;kg/an
0006102416;PMG Ardèche;2020;Air;Composés organiques volatils non méthaniques (COVNM);30100;kg/an
0006102440;MIXT COMPOSITES RECYCLABLES;2020;Air;Composés organiques volatils non méthaniques (COVNM);41700;kg/an
0006102443;FABRICATION CHIMIQUE ARDECHOISE;2020;Air;Composés organiques volatils non méthaniques (COVNM);66700;kg/an
0006102509;MARKEM-IMAJE INDUSTRIES;2020;Air;Composés organiques volatils non méthaniques (COVNM);31600;kg/an
0006102595;ETEX FRANCE BUILDING PERFORMANCE;2020;Air;Composés organiques volatils non méthaniques (COVNM);125000;kg/an
0006102813;TRIVIUM ALUMINIUM PACKAGING France;2020;Air;Composés organiques volatils non méthaniques (COVNM);98400;kg/an
0006102824;VICAT;2020;Air;Composés organiques volatils non méthaniques (COVNM);135000;kg/an
0006102857;FINORGA-NOVASEP;2020;Air;Composés organiques volatils non méthaniques (COVNM);115000;kg/an
0006102885;ST MICROELECTRONICS;2020;Air;Composés organiques volatils non méthaniques (COVNM);111000;kg/an
0006102939;AMCOR FLEXIBLES PACKAGING FRANCE;2020;Air;Composés organiques volatils non méthaniques (COVNM);722000;kg/an
0006102993;ARKEMA;2020;Air;Composés organiques volatils non méthaniques (COVNM);125000;kg/an
0006103032;REXOR;2020;Air;Composés organiques volatils non méthaniques (COVNM);168000;kg/an
0006103087;KNAUF CENTRE EST - St André le Gaz;2020;Air;Composés organiques volatils non méthaniques (COVNM);115000;kg/an
0006103096;SAINT CLAIR TEXTILES (ex DICKSON COATINGS);2020;Air;Composés organiques volatils non méthaniques (COVNM);78900;kg/an
0006103282;STEPAN EUROPE SA;2020;Air;Composés organiques volatils non méthaniques (COVNM);944000;kg/an
0006103291;SNF SA ANDREZIEUX;2020;Air;Composés organiques volatils non méthaniques (COVNM);113000;kg/an
0006103396;M.F.DES PNEUMATIQUES MICHELIN;2020;Air;Composés organiques volatils non méthaniques (COVNM);50900;kg/an
0006103556;AVERY-DENISSON MATERIALS FRANCE;2020;Air;Composés organiques volatils non méthaniques (COVNM);52400;kg/an
0006103731;RHODIA OPERATIONS;2020;Air;Composés organiques volatils non méthaniques (COVNM);261000;kg/an
0006103754;ADG;2020;Air;Composés organiques volatils non méthaniques (COVNM);374000;kg/an
0006103973;TOTAL RAFFINAGE France;2020;Air;Composés organiques volatils non méthaniques (COVNM);734000;kg/an
0006104259;Givaudan Lavirotte (Groupe ISALTIS);2020;Air;Composés organiques volatils non méthaniques (COVNM);188000;kg/an
0006104379;ARKEMA USINE DE LA CHAMBRE;2020;Air;Composés organiques volatils non méthaniques (COVNM);89000;kg/an
0006104679;TEFAL SA;2020;Air;Composés organiques volatils non méthaniques (COVNM);147000;kg/an
0006105222;ELKEM SILICONES FRANCE;2020;Air;Composés organiques volatils non méthaniques (COVNM);33300;kg/an
0006200037;SOVAB;2020;Air;Composés organiques volatils non méthaniques (COVNM);760000;kg/an
0006200139;CROWN BEVCAN;2020;Air;Composés organiques volatils non méthaniques (COVNM);375000;kg/an
0006200199;SAINT GOBAIN PAM (Usine Foug);2020;Air;Composés organiques volatils non méthaniques (COVNM);92000;kg/an
0006200339;GLANZSTOFF LONGLAVILLE;2020;Air;Composés organiques volatils non méthaniques (COVNM);40900;kg/an
0006200381;ARDAGH METAL PACKAGING France SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);614000;kg/an
0006200539;SAINT GOBAIN PAM;2020;Air;Composés organiques volatils non méthaniques (COVNM);71200;kg/an
0006200802;INEOS COMPOSITES FRANCE (ASHLAND FRANCE);2020;Air;Composés organiques volatils non méthaniques (COVNM);67100;kg/an
0006200921;RHOVYL;2020;Air;Composés organiques volatils non méthaniques (COVNM);31600;kg/an
0006200938;VALTRIS ENTERPRISES FRANCE SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);176000;kg/an
0006201330;SMART FRANCE SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);39500;kg/an
0006201759;ARKEMA;2020;Air;Composés organiques volatils non méthaniques (COVNM);376000;kg/an
0006201829;AMCOR FLEXIBLES SARREBOURG SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);331000;kg/an
0006202575;REBORN VOSGES;2020;Air;Composés organiques volatils non méthaniques (COVNM);66400;kg/an
0006300877;MICHELIN;2020;Air;Composés organiques volatils non méthaniques (COVNM);81600;kg/an
0006300908;LAFARGEHOLCIM CIMENTS (usine cimenterie);2020;Air;Composés organiques volatils non méthaniques (COVNM);70900;kg/an
0006300914;SPBI JEANNEAU;2020;Air;Composés organiques volatils non méthaniques (COVNM);88500;kg/an
0006300949;AIRBUS OPERATIONS SAS;2020;Air;Composés organiques volatils non méthaniques (COVNM);62000;kg/an
